,date,orientation_class,sentiment_score,sentence_sentiment,token_sentiment,mean_sentiment,std_sentiment,token_mean,token_std
973,2022-07-21,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957]",2.6470588235294117,0.12201770493325148
976,2022-01-05,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, -1, -1, -1, 0, -1, -1, 1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485, 0.0355829616155722, -0.0605572838109602, 0.0303643630401162, 0.0213040540188977, -0.0065330647809363, 0.0041213160157796, -0.0931891025641025, 0.0206207482993197, 0.0023163604768731, -0.0513191476733143, -0.0322850395218816, -0.0289595446764564, 0.0, -0.0540064102564102, -0.0855550235478807, 0.0560972903065926, 0.017795505776275, 0.0036843262946204]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553, 0.113590380523659, 0.1131080656516526, 0.0826861843165584, 0.0816799379306097, 0.0610878195046896, 0.091181949783226, 0.2115761093392776, 0.1601353829803747, 0.0819458705503406, 0.1788175982345438, 0.0793303566613202, 0.077602258491574, 0.0, 0.0713722393394201, 0.1889078944040444, 0.1168786886781747, 0.0936287774591583, 0.0194196493914523]",2.525,0.11298056521819536
977,2022-01-05,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485, 0.0355829616155722]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553, 0.113590380523659]",2.5217391304347827,0.12216799243527818
979,2022-01-05,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
980,2022-01-05,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
981,2022-01-05,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
982,2022-01-05,LEFT,4,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
983,2022-01-05,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101]",2.6153846153846154,0.12090372035772022
985,2022-01-05,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101]",2.6153846153846154,0.12090372035772022
987,2022-01-05,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944]",2.6666666666666665,0.1210435761681044
